id,name,alternateNames,type,skinColor,fleshColor,origin,description,flavorIntensity,butteriness,earthiness,sweetness,nuttiness,flavorCategory,textureWhenCooked,moistureLevel,starchContent,bestUses,fryingQuality,mashingQuality,roastingQuality,saladQuality,holdsShapeWhenCooked,cuisineAffinity,tuberShape,tuberSizeGrams_min,tuberSizeGrams_max,sizeCategory,eyeDepth,skinTexture,skinThickness,daysToMaturity_min,daysToMaturity_max,maturityCategory,yieldPotential,plantVigor,setCount,tuberSizeUniformity,hardinessZone_min,hardinessZone_max,heatTolerance,droughtTolerance,frostTolerance,climateSuitability,containerFriendly,minPotLiters,rowSpacingCm,seedSpacingCm,difficulty,storageLife,storageDormancy,storageNotes,diseaseResistance_lateBlight,diseaseResistance_scab,diseaseResistance_virus,diseaseResistance_nematode,diseaseNotes,availableFrom_SeedSow,availableFrom_WestCoastSeeds,vendorSeedList,vendorVarietyNames,sources,confidence
1,Noelle,,all_purpose,purple,purple,Netherlands,"A striking Dutch specialty with vivid purple skin and purple flesh that holds its color when cooked. The complex flavor balances butteriness with mild nuttiness. Firm texture makes it excellent for roasting and gratins where you want visual impact.",4,5,3,6,6,complex,firm,moist,medium,frying,7,6,8,7,6,mediterranean,round,119,174,large,deep,flaky,thick,73,80,early,medium,high,moderate,variable,2,9,5,3,8,warm,false,,32,31,intermediate,poor,short,,moderate,highly_resistant,resistant,moderate,,true,false,SeedSow,Noelle,seedsnow.com|wikipedia.org|woodprairie.com,high
2,Viking Purple,,specialty,purple,purple,Germany,"German heirloom with deep purple skin and striking purple flesh. Notable for its sweet undertones and waxy texture that holds shape well. A showstopper for salads and chips where you want color that lasts through cooking.",7,6,4,6,2,sweet,waxy,medium,medium,chips|mashing|salads|gratins,6,6,6,6,7,german|scandinavian|indian,round,103,147,large,shallow,netted,thick,83,97,mid_season,low,high,few,variable,2,9,6,6,7,warm,false,,34,32,intermediate,excellent,medium,,moderate,highly_resistant,moderate,resistant,,true,false,SeedSow,Viking Purple,seedsnow.com|potatoassociation.org|extension.umaine.edu,high
3,Albertine,,all_purpose,yellow,gold,USA,"American variety prized for its golden flesh and rich buttery flavor. The mealy texture makes excellent mashed potatoes with natural richness. A reliable producer that stores exceptionally well through winter.",7,7,5,5,4,mild,mealy,medium,medium,mashing|baking,6,7,8,8,6,indian|british,fingerling,120,136,large,shallow,flaky,medium,78,110,mid_late,high,medium,many,variable,2,9,3,5,8,cool|temperate,false,,38,29,beginner,excellent,long,,resistant,susceptible,susceptible,susceptible,,true,false,SeedSow,Albertine,seedsnow.com|wikipedia.org|extension.umaine.edu,high
4,Violetta,,all_purpose,pink,yellow,Netherlands,"Dutch variety combining attractive pink-rose skin with creamy yellow flesh. Fluffy texture when cooked makes it versatile for roasting, mashing, and gratins. The mild flavor takes well to butter and herbs.",4,5,5,3,6,mild,fluffy,medium,medium,gratins|mashing|frying|gnocchi,5,7,8,8,7,mediterranean|global|eastern_european,irregular,83,130,medium,medium,flaky,thin,86,98,mid_early,very_high,low,moderate,variable,2,9,7,5,7,warm|temperate,false,,30,22,intermediate,good,long,,susceptible,resistant,moderate,moderate,,true,false,SeedSow,Violetta,seedsnow.com|woodprairie.com|westcoastseeds.com,high
5,Zoe,,all_purpose,pink,yellow,France,"French fingerling with rosy pink skin and yellow flesh. High butteriness rating with mealy texture creates luxurious mashed potatoes. The elongated shape and complex flavor profile suits French cuisine beautifully.",5,8,4,5,4,complex,mealy,medium,medium,salads|chips|mashing|gnocchi,6,8,9,8,7,french|global|german,fingerling,60,106,medium,deep,netted,thin,75,97,mid_early,medium,low,few,variable,2,9,3,5,8,temperate|cool,false,,27,24,advanced,poor,long,,resistant,highly_resistant,susceptible,susceptible,,true,false,SeedSow,Zoe,seedsnow.com|wikipedia.org|ag.umass.edu,high
6,Caribe,,all_purpose,purple,white,USA,"Early American variety with striking purple skin and creamy white flesh. The firm texture holds shape during cooking while delivering mild, approachable flavor. Excellent for boiling and roasting where the purple skin adds visual appeal.",5,5,4,5,4,mild,firm,medium,medium,frying,8,6,9,7,7,irish|german|mediterranean,oval,69,87,medium,shallow,smooth,thin,70,79,early,high,low,many,moderate,2,9,4,6,7,cool|warm|temperate,false,,27,34,intermediate,excellent,short,,highly_resistant,highly_resistant,highly_resistant,resistant,,true,false,SeedSow,Caribe,seedsnow.com|wikipedia.org|woodprairie.com,high
7,Malou,,all_purpose,purple,purple,USA,"American purple variety with matching purple skin and flesh. The waxy texture and mild flavor make it ideal for boiling and soups where it maintains its shape. Moist flesh absorbs seasonings well.",4,5,3,3,6,mild,waxy,moist,medium,baking|boiling|soups|chips,6,7,6,5,7,global,oval,88,113,medium,shallow,netted,thin,60,79,early,low,high,moderate,uniform,2,9,7,6,4,warm|cool|temperate,false,,39,26,intermediate,good,long,,highly_resistant,moderate,highly_resistant,highly_resistant,,true,false,SeedSow,Malou,seedsnow.com|extension.umaine.edu|ag.umass.edu,high
8,Elfie,,all_purpose,red,yellow,USA,"American red-skinned variety with golden yellow flesh. The firm texture and mild flavor make it a reliable all-rounder. Moist flesh pairs well with roasting and soups where the red skin adds visual appeal.",7,5,3,5,5,mild,firm,moist,medium,chips,8,8,7,6,7,american|scandinavian|mediterranean,oval,115,144,large,deep,netted,medium,73,82,early,medium,low,moderate,variable,2,9,6,3,5,temperate,false,,26,24,intermediate,good,long,,resistant,resistant,susceptible,highly_resistant,,true,false,SeedSow,Elfie,seedsnow.com|westcoastseeds.com|wikipedia.org,high
9,Jester,,all_purpose,russet,gold,UK,"British russet with attractive golden flesh beneath the traditional brown skin. Fluffy texture and mild buttery flavor excel in baking and frying. The nutty undertones complement both savory and simple preparations.",4,7,6,5,6,mild,fluffy,moist,medium,frying|baking,5,7,8,6,7,american,oval,92,133,medium,deep,smooth,thick,60,80,early,very_high,medium,moderate,uniform,2,9,3,7,5,cool|temperate|warm,false,,27,24,advanced,excellent,short,,moderate,susceptible,moderate,resistant,,true,false,SeedSow,Jester,seedsnow.com|potatoassociation.org|extension.umaine.edu,high
10,Cheshire,,all_purpose,white,white,Peru,"Peruvian heritage variety with clean white skin and flesh. The waxy texture holds shape beautifully for baking and roasting. Complex flavor with earthy depth reflects its South American origins.",4,5,6,4,6,complex,waxy,moist,medium,baking|roasting,7,7,7,8,5,global|french|indian,irregular,79,104,medium,medium,russeted,thin,66,78,early,medium,low,moderate,moderate,2,9,7,6,6,warm|temperate,false,,26,24,intermediate,excellent,medium,,moderate,moderate,resistant,moderate,,true,false,SeedSow,Cheshire,seedsnow.com|woodprairie.com|westcoastseeds.com,high
