
id,name,alternateNames,type,origin,description,sweetness,tartness,aromaIntensity,flavorComplexity,flavorCategory,textureCategory,juiciness,fruitSizeGrams_min,fruitSizeGrams_max,sizeCategory,fruitShape,colorIntensity,interiorColor,skinStrength,shelfLife,bestUses,processingQuality,freezingQuality,daysToFirstHarvest,harvestWindow,yieldPotential,runnerProduction,plantVigor,lifespan,hardinessZone_min,hardinessZone_max,heatTolerance,coldTolerance,climateSuitability,containerFriendly,minPotLiters,spacingCm,difficulty,diseaseResistance_verticillium,diseaseResistance_powderyMildew,diseaseResistance_crownRot,diseaseResistance_leafSpot,pestNotes,diseaseNotes,sources,confidence,availableFrom_SeedSow,availableFrom_WestCoastSeeds,vendorSeedList,vendorVarietyNames
1,Chandler,,june_bearing,Canada,Chandler is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,6,3,7,6,classic,medium,7,14,18,large,conical,6,dark_red,7,good,fresh_eating|jam|preserves|baking,7,5,91,short,high,high,medium,2_years,5,7,7,9,cool|temperate|warm,true,10,25,intermediate,resistant,resistant,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
2,Albion,,day_neutral,Germany,Albion is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,5,7,5,classic,soft,9,14,18,large,conical,8,pink,9,excellent,fresh_eating|jam|freezing|desserts,7,6,92,continuous,high,low,medium,2_years,4,8,4,6,temperate|warm,true,10,35,intermediate,resistant,resistant,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org|noursefarms.com,high,false,false,,
3,Seascape,,day_neutral,New Zealand,Seascape is a day neutral strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,7,4,6,8,classic,medium,9,10,14,medium,wedge,7,pink,6,good,fresh_eating|jam|freezing|desserts,9,8,82,continuous,high,moderate,medium,2_years,5,7,7,8,temperate|warm,true,10,35,beginner,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|seedsnow.com|strawberryplants.org,high,true,false,SeedSow,Seascape
4,Honeoye,,june_bearing,UK,Honeoye is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,4,8,5,classic,firm,6,13,17,large,wedge,7,dark_red,7,good,fresh_eating|jam|preserves|baking,9,9,113,short,very_high,very_high,medium,2_years,5,8,4,7,cool|temperate|warm,false,,35,beginner,resistant,moderate,moderate,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
5,Earliglow,,june_bearing,Switzerland,Earliglow is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,3,7,8,classic,medium,6,13,17,large,round,8,red,7,good,fresh_eating|jam|preserves|baking,7,8,100,short,high,high,high,2_years,4,7,7,9,cool|temperate|warm,true,20,40,intermediate,moderate,moderate,resistant,resistant,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
6,Jewel,,june_bearing,Netherlands,Jewel is a june bearing strawberry with very large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,7,4,5,7,classic,medium,6,28,32,very_large,wedge,7,red,7,good,fresh_eating|jam|preserves|baking,5,5,116,short,high,high,medium,3_years,4,7,6,8,cool|temperate|warm,true,10,45,intermediate,moderate,resistant,resistant,moderate,,,extension.oregonstate.edu|seedsnow.com|strawberryplants.org,high,true,false,SeedSow,Jewel
7,Allstar,,june_bearing,Japan,Allstar is a june bearing strawberry with large berries and classic flavor; ideal for cool climates and versatile use in the kitchen.,9,6,5,5,classic,medium,6,22,26,large,round,6,red,8,excellent,fresh_eating|jam|preserves|baking,6,8,102,short,very_high,high,high,2_years,5,9,5,5,cool|temperate|warm,false,,40,beginner,moderate,moderate,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
8,Ozark Beauty,,everbearing,New Zealand,Ozark Beauty is a everbearing strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,3,6,8,classic,firm,6,12,16,medium,round,8,red,8,excellent,fresh_eating|jam|preserves|freezing,6,5,94,long,high,low,medium,3_years,3,5,8,9,temperate|cool,true,7,20,beginner,resistant,moderate,moderate,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
9,Quinault,,everbearing,UK,Quinault is a everbearing strawberry with medium berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,8,3,6,5,classic,medium,6,12,16,medium,round,7,pink,7,good,fresh_eating|jam|preserves|freezing,7,5,81,long,high,low,high,3_years,4,5,4,8,temperate|cool,false,,40,beginner,moderate,moderate,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org,medium,false,false,,
10,Tristar,,day_neutral,France,Tristar is a day neutral strawberry with large berries and classic flavor; ideal for temperate climates and versatile use in the kitchen.,7,6,7,5,classic,soft,8,16,20,large,conical,6,red,7,good,fresh_eating|jam|freezing|desserts,5,7,81,continuous,medium,moderate,high,2_years,5,7,6,9,temperate|warm,true,15,30,beginner,moderate,resistant,resistant,moderate,,,extension.oregonstate.edu|strawberryplants.org|noursefarms.com,high,false,false,,
